ident,name,coordinates,iso_country,iata_code
LFBJ,St Junien Airport,"0.920000017, 45.90330124",FR,
LFBK,Montluçon-Guéret Airport,"2.363960028, 46.22259903",FR,MCU
LFBL,Limoges Airport,"1.179440022, 45.8628006",FR,LIG
LFBM,Mont-de-Marsan (BA 118) Air Base,"-0.507499993, 43.9117012",FR,XMJ
LFBN,Niort-Souché Airport,"-0.401502997, 46.31129837",FR,NIT
LFBO,Toulouse-Blagnac Airport,"1.363819957, 43.6291008",FR,TLS
LFBP,Pau Pyrénées Airport,"-0.41861099, 43.38000107",FR,PUF
LFBR,Muret-Lherm Airport,"1.263329983, 43.44889832",FR,
LFBS,Biscarrosse Parentis Airport,"-1.13056004, 44.36940002",FR,
LFBT,Tarbes-Lourdes-Pyrénées Airport,"-0.006439, 43.17869949",FR,LDE
LFBU,Angoulême-Brie-Champniers Airport,"0.221456006, 45.72919846",FR,ANG
LFBV,Brive-La Roche Airport,"1.469169974, 45.1507988",FR,BVE
LFBX,Périgueux-Bassillac Airport,"0.81555599, 45.19810104",FR,PGX
LFBY,Dax Seyresse Airport,"-1.068889976, 43.68920135",FR,XDA
LFBZ,Biarritz-Anglet-Bayonne Airport,"-1.52331996, 43.46839905",FR,BIQ
LFCA,Châtellerault Airport,"0.551944017, 46.78139877",FR,XCX
LFCB,Bagnères De Luchon Airport,"0.600000024, 42.79999924",FR,
LFCC,Cahors-Lalbenque Airport,"1.475280046, 44.35139847",FR,ZAO
LFCD,Andernos Les Bains Airport,"-1.063330054, 44.7560997",FR,
LFCE,Guéret St Laurent Airport,"1.958330035, 46.17919922",FR,XGT
LFCF,Figeac Livernon Airport,"1.789170027, 44.6733017",FR,
LFCG,Saint-Girons-Antichan Airport,"1.10315001, 43.00780106",FR,
LFCH,Arcachon-La Teste-de-Buch Airport,"-1.110829949, 44.59640121",FR,XAC
LFCI,Albi-Le Séquestre Airport,"2.113059998, 43.91389847",FR,LBI
LFCJ,Jonzac Neulles Airport,"-0.421389014, 45.48419952",FR,
LFCK,Castres-Mazamet Airport,"2.28918004, 43.55630112",FR,DCM
LFCL,Toulouse-Lasbordes Airport,"1.499169946, 43.58610153",FR,
LFCM,Millau-Larzac Airport,"3.183000088, 43.98929977",FR,
LFCN,Nogaro Airport,"-0.032777999, 43.7696991",FR,
LFCO,Oloron Herrere Airport,"-0.560277998, 43.16469955",FR,
LFCP,Pons Avy Airport,"-0.514999986, 45.56999969",FR,
LFCQ,Graulhet-Montdragon Airport,"2.010829926, 43.77109909",FR,
LFCR,Rodez-Marcillac Airport,"2.482670069, 44.40790176",FR,RDZ
LFCS,Bordeaux Léognan Saucats Airport,"-0.595556021, 44.70029831",FR,
LFCT,Thouars Airport,"-0.152778, 46.9618988",FR,
LFCU,Ussel-Thalamy Airport,"2.423890114, 45.53469849",FR,
LFCV,Villefranche De Rouergue Airport,"2.028059959, 44.36999893",FR,
LFCW,Villeneuve-sur-Lot Airport,"0.758889019, 44.39690018",FR,
LFCX,Castelsarrasin Moissac Airport,"1.128329992, 44.0868988",FR,
LFCY,Royan-Médis Airport,"-0.972500026, 45.62810135",FR,RYN
LFCZ,Mimizan Airport,"-1.174440026, 44.14609909",FR,
LFDA,Aire-sur-l'Adour Airport,"-0.245278001, 43.70940018",FR,
LFDB,Montauban Airport,"1.378039956, 44.02569962",FR,XMW
LFDC,Montendre Marcillac Airport,"-0.45222199, 45.2743988",FR,
LFDE,Égletons Airport,"2.068890095, 45.42139816",FR,
LFDF,Ste Foy La Grande Airport,"0.176667005, 44.85359955",FR,
LFDG,Gaillac Lisle Sur Tarn Airport,"1.875560045, 43.88389969",FR,
LFDH,Auch-Lamothe Airport,"0.601666987, 43.68780136",FR,
LFDI,Libourne-Artigues-de-Lussac Airport,"-0.134721994, 44.98249817",FR,XLR
LFDJ,Pamiers-Les Pujols Airport,"1.695829988, 43.09059906",FR,
LFDK,Soulac Sur Mer Airport,"-1.082219958, 45.49499893",FR,
LFDL,Loudun Airport,"0.101388998, 47.03720093",FR,
LFDM,Marmande-Virazeil Airport,"0.200514004, 44.49890137",FR,
LFDN,Rochefort-Saint-Agnant (BA 721) Airport,"-0.983056009, 45.88779831",FR,RCO
LFDO,Bordeaux Souge Airport,"-0.800000012, 44.84999847",FR,
LFDP,St Pierre D'oléron Airport,"-1.316110015, 45.95920181",FR,
LFDQ,Castelnau Magnoac Airport,"0.521667004, 43.27939987",FR,
LFDR,La Réole Floudes Airport,"-0.056111, 44.56809998",FR,
LFDS,Sarlat Domme Airport,"1.244719982, 44.79330063",FR,XSL
LFDT,Tarbes Laloubère Airport,"0.078611001, 43.21609879",FR,XTB
LFDU,Lesparre St Laurent Medoc Airport,"-0.882221997, 45.19779968",FR,
LFDV,Couhé Vérac Airport,"0.190556005, 46.27280045",FR,
LFDW,Chauvigny Airport,"0.642499983, 46.58359909",FR,
LFDX,Fumel Montayral Airport,"1.007779956, 44.46360016",FR,
LFDY,Bordeaux Yvrac Airport,"-0.479167014, 44.87720108",FR,
LFDZ,Condat-Sur-Vezere Airport,"1.217000008, 45.09999847",FR,
LFEA,Belle Ile Airport,"-3.198329926, 47.3266983",FR,
LFEB,Dinan - Trélivan Airport,"-2.101389885, 48.44440079",FR,
LFEC,Ouessant Airport,"-5.063580036, 48.46319962",FR,
LFED,Pontivy Airport,"-2.921829939, 48.05849838",FR,
LFEF,Amboise Dierre Airport,"0.942499995, 47.34140015",FR,
LFEG,Argenton Sur Creuse Airport,"1.602499962, 46.59690094",FR,
LFEH,Aubigny-sur-Nère Airport,"2.393049955, 47.4742012",FR,
LFEI,Briare Chatillon Airport,"2.781939983, 47.61439896",FR,
LFEJ,Châteauroux Villers Airport,"1.621109962, 46.84189987",FR,
LFEK,Issoudun Le Fay Airport,"2.041389942, 46.8885994",FR,
LFEL,Le Blanc Airport,"1.087499976, 46.62080002",FR,
LFEM,Montargis Vimory Airport,"2.685830116, 47.96060181",FR,
LFEN,Tours Sorigny Airport,"0.701111019, 47.26750183",FR,
LFEO,St Malo St Serva Airport,"-1.973610044, 48.61360168",FR,
LFEP,Pouilly Maconge Airport,"4.56111002, 47.22140121",FR,
LFEQ,Quiberon Airport,"-3.099999905, 47.48220062",FR,
LFER,Redon Bains-sur-Oust Airport,"-2.03666997, 47.69940186",FR,
LFES,Guiscriff Scaer Airport,"-3.664720058, 48.05250168",FR,
LFET,Til Châtel Airport,"5.211939812, 47.54750061",FR,
LFEU,Bar Le Duc Airport,"5.185830116, 48.86830139",FR,
LFEV,Gray St Adrien Airport,"5.622779846, 47.43330002",FR,
LFEW,Saulieu Liernais Airport,"4.26583004, 47.23939896",FR,
LFEX,Nancy Azelot Airport,"6.241109848, 48.59280014",FR,
LFEY,Île d'Yeu Airport,"-2.391109943, 46.71860123",FR,IDY
LFEZ,Nancy Malzeville Airport,"6.207779884, 48.72439957",FR,
LFFB,Buno Bonnevaux Airport,"2.425559998, 48.35110092",FR,
LFFC,Mantes Chérence Airport,"1.689720035, 49.07889938",FR,
LFFD,St André De L'eure Airport,"1.250560045, 48.89860153",FR,
LFFE,Enghien Moisselles Airport,"2.353060007, 49.04639816",FR,
LFFG,La Ferté Gaucher Airport,"3.276669979, 48.75579834",FR,
LFFH,Château-Thierry - Belleau Airport,"3.356940031, 49.06719971",FR,
LFFI,Ancenis Airport,"-1.17750001, 47.40810013",FR,
LFFJ,Joinville Mussey Airport,"5.144999981, 48.38610077",FR,
LFFK,Fontenay Le Comte Airport,"-0.792778015, 46.44139862",FR,
LFFL,Bailleau Armenonville Airport,"1.639999986, 48.51580048",FR,
LFFM,Lamotte Beuvron Airport,"1.989169955, 47.65670013",FR,
LFFN,Brienne-le-Château Airport,"4.482220173, 48.42979813",FR,
LFFP,Pithiviers Airport,"2.192500114, 48.15719986",FR,
LFFQ,La Ferté Alais Airport,"2.343329906, 48.49779892",FR,
LFFR,Bar Sur Seine Airport,"4.413609982, 48.06689835",FR,
LFFT,Neufchâteau Airport,"5.721389771, 48.36249924",FR,
LFFU,Châteauneuf Sur Cher Airport,"2.376940012, 46.87110138",FR,
LFFV,Vierzon Méreau Airport,"2.066669941, 47.19469833",FR,XVZ
LFFW,Montaigu St Georges Airport,"-1.325559974, 46.93310165",FR,
LFFX,Tournus Cuisery Airport,"4.976669788, 46.56280136",FR,
LFFY,Étrépagny Airport,"1.638610005, 49.30609894",FR,
LFFZ,Sézanne St Rémy Airport,"3.764169931, 48.71060181",FR,
LFGA,Colmar-Houssen Airport,"7.35901022, 48.10990143",FR,CMR
LFGB,Mulhouse-Habsheim Airport,"7.432209969, 47.74129868",FR,
LFGC,Strasbourg Neuhof Airport,"7.778059959, 48.5544014",FR,
LFGD,Arbois Airport,"5.760000229, 46.91999817",FR,
LFGE,Avallon Airport,"3.89944005, 47.50310135",FR,
LFGF,Beaune-Challanges Airport,"4.893420219, 47.00590134",FR,XBV
LFGG,Belfort Chaux Airport,"6.832499981, 47.70220184",FR,
LFGH,Cosne Sur Loire Airport,"2.919440031, 47.36059952",FR,
LFGI,Dijon Darois Airport,"4.948060036, 47.38690186",FR,
LFGJ,Dole-Tavaux Airport,"5.427249908, 47.03900146",FR,DLE
LFGK,Joigny Airport,"3.39222002, 47.99219894",FR,
LFGL,Lons Le Saulnier Courlaoux Airport,"5.471109867, 46.67610168",FR,
LFGM,Montceau Les Mines Airport,"4.333889961, 46.60419846",FR,
LFGN,Paray Le Monial Airport,"4.135000229, 46.46780014",FR,
LFGO,Pont Sur Yonne Airport,"3.250829935, 48.29059982",FR,
LFGP,St Florentin Cheu Airport,"3.778330088, 47.98220062",FR,
LFGQ,Semur En Auxois Airport,"4.344170094, 47.48189926",FR,
LFGR,Doncourt Les Conflans Airport,"5.932779789, 49.15280151",FR,
LFGS,Longuyon Villette Airport,"5.572780132, 49.4844017",FR,
LFGT,Sarrebourg Buhl Airport,"7.079440117, 48.71889877",FR,
LFGU,Sarreguemines Neunkirch Airport,"7.108329773, 49.12810135",FR,
LFGV,Thionville Yutz Airport,"6.20138979, 49.35469818",FR,
LFGW,Verdun-Le Rozelier Airport,"5.469049931, 49.12239838",FR,XVN
LFGX,Champagnole Crotenay Airport,"5.820829868, 46.76440048",FR,
LFGY,St Dié Remomeix Airport,"7.008609772, 48.26720047",FR,
LFGZ,Nuits St Georges Airport,"4.969170094, 47.14310074",FR,
LFHA,Issoire Le Broc Airport,"3.267499924, 45.51499939",FR,
LFHC,Pérouges - Meximieux Airport,"5.187220097, 45.86970139",FR,
LFHD,Pierrelatte Airport,"4.718060017, 44.39889908",FR,
LFHE,Romans - Saint-Paul Airport,"5.103330135, 45.06610107",FR,
LFHF,Ruoms Airport,"4.333889961, 44.44530106",FR,
LFHG,St Chamond L'horme Airport,"4.535560131, 45.49309921",FR,
LFHH,Vienne Reventin Airport,"4.829440117, 45.46419907",FR,
LFHI,Morestel Airport,"5.453609943, 45.68780136",FR,
LFHJ,Lyon Corbas Airport,"4.913609982, 45.65420151",FR,
LFHL,Langogne - Lespéron Airport,"3.888329983, 44.70640182",FR,
LFHM,Megève Airport,"6.652219772, 45.82080078",FR,MVV
LFHN,Bellegarde-Vouvray Airport,"5.806109905, 46.12419891",FR,
LFHO,Aubenas-Ardèche Méridional Airport,"4.372189999, 44.5442009",FR,OBS
LFHP,Le Puy-Loudes Airport,"3.7628901, 45.08069992",FR,LPY
LFHQ,Saint-Flour-Coltines Airport,"2.993609905, 45.07640076",FR,
LFHR,Brioude Beaumont Airport,"3.35916996, 45.32500076",FR,
LFHS,Bourg-Ceyzériat Airport,"5.292029858, 46.20090103",FR,
LFHT,Ambert Le Poyet Airport,"3.746390104, 45.51689911",FR,
LFHU,L'alpe D'huez Airport,"6.084720135, 45.0882988",FR,AHZ
LFHV,Villefranche-Tarare Airport,"4.634931, 45.919983",FR,
LFHW,Belleville Villié Morgon Airport,"4.714719772, 46.14279938",FR,
LFHX,Lapalisse - Périgny Airport,"3.588609934, 46.25389862",FR,
LFHY,Moulins-Montbeugny Airport,"3.423719883, 46.5345993",FR,
LFHZ,Sallanches Airport,"6.63917017, 45.95389938",FR,
LFIB,Belvès St Pardoux Airport,"0.958889008, 44.78250122",FR,
LFID,Condom Valence Sur Baise Airport,"0.387221992, 43.91030121",FR,
LFIF,Saint-Affrique-Belmont Airport,"2.745280027, 43.82329941",FR,
LFIG,Cassagnes-Bégonhès Airport,"2.515000105, 44.17779922",FR,
LFIH,Chalais Airport,"0.016944, 45.26810074",FR,
LFIK,Ribérac St Aulaye Airport,"0.266943991, 45.24029922",FR,
LFIL,Rion Des Landes Airport,"-0.949167013, 43.91579819",FR,
LFIM,St Gaudens Montrejeau Airport,"0.620278001, 43.10860062",FR,
LFIO,Montaudran Airport,"1.480829954, 43.56890106",FR,
LFIP,Peyresourde Balestas Airport,"0.435555995, 42.7969017",FR,
LFIR,Revel Montgey Airport,"1.980000019, 43.48139954",FR,
LFIT,Toulouse Bourg St Bernard Airport,"1.725280046, 43.61220169",FR,
LFIV,Vendays Montalivet Airport,"-1.115829945, 45.38059998",FR,
LFIX,Itxassou Airport,"-1.422219992, 43.33750153",FR,
LFIY,St Jean D'angély Airport,"-0.525277972, 45.96640015",FR,
LFJA,Chaumont-Semoutiers Airport,"5.049019814, 48.0862999",FR,XCW
LFJB,Mauléon Airport,"-0.697777987, 46.90280151",FR,
LFJC,Clamecy Airport,"3.50861001, 47.43830109",FR,
LFJD,Corlier Airport,"5.496940136, 46.03969955",FR,
LFJE,La Motte Chalancon Airport,"5.402850151, 44.49580002",FR,
LFJF,Aubenasson Airport,"5.151110172, 44.69449997",FR,
LFJH,Cazeres Palaminy Airport,"1.051110029, 43.20220184",FR,
LFJI,Marennes Le Bournet Airport,"-1.076670051, 45.82500076",FR,
LFJL,Metz-Nancy-Lorraine Airport,"6.251319885, 48.98210144",FR,ETZ
LFJM,Chailley Airport,"3.714237213, 48.08071518",FR,
LFJR,Angers-Loire Airport,"-0.312222004, 47.56029892",FR,ANE
LFJS,Soissons - Courmelles Airport,"3.284169912, 49.34579849",FR,
LFJT,Tours Le Louroux Airport,"0.712777972, 47.15000153",FR,
LFJU,Lurcy-Lévis Airport,"2.945899963, 46.71360016",FR,
LFKA,Albertville Airport,"6.32972002, 45.62720108",FR,XAV
LFKB,Bastia-Poretta Airport,"9.483730316, 42.55270004",FR,BIA
LFKC,Calvi-Sainte-Catherine Airport,"8.793190002, 42.53079987",FR,CLY
LFKD,Sollières Sardières Airport,"6.801390171, 45.25640106",FR,
LFKE,Saint-Jean-en-Royans Airport,"5.309999943, 45.02780151",FR,
LFKF,Figari Sud-Corse Airport,"9.097780228, 41.50059891",FR,FSC
LFKG,Ghisonaccia Alzitone Airport,"9.401940346, 42.05500031",FR,
LFKH,St Jean D'avelanne Airport,"5.680560112, 45.51670074",FR,
LFKJ,Ajaccio-Napoléon Bonaparte Airport,"8.802920341, 41.92359924",FR,AJA
LFKL,Lyon Brindas Airport,"4.697780132, 45.71170044",FR,
LFKM,St Galmier Airport,"4.305830002, 45.60720062",FR,
LFKO,Propriano Airport,"8.889749527, 41.66059875",FR,PRP
LFKP,La Tour Du Pin Airport,"5.384719849, 45.56000137",FR,
LFKS,Solenzara (BA 126) Air Base,"9.406000137, 41.92440033",FR,SOZ
LFKT,Corte Airport,"9.193059921, 42.29359818",FR,
LFKX,Méribel Airport,"6.580560207, 45.4068985",FR,MFX
LFKY,Belley - Peyrieu Airport,"5.692780018, 45.69499969",FR,
LFKZ,St Claude Pratz Airport,"5.772220135, 46.38890076",FR,
LFLA,Auxerre-Branches Airport,"3.49710989, 47.85020065",FR,AUF
LFLB,Chambéry-Savoie Airport,"5.88022995, 45.63809967",FR,CMF
LFLC,Clermont-Ferrand Auvergne Airport,"3.169169903, 45.7867012",FR,CFE
LFLD,Bourges Airport,"2.370280027, 47.05810165",FR,BOU
LFLE,Chambéry-Challes-les-Eaux Airport,"5.975759983, 45.56110001",FR,
LFLG,Grenoble Le Versoud Airport,"5.849720001, 45.21920013",FR,
LFLH,Chalon-Champforgeuil Airport,"4.817629814, 46.8260994",FR,
LFLI,Annemasse Airport,"6.268390179, 46.19200134",FR,QNJ
LFLJ,Courchevel Airport,"6.634719849, 45.39670181",FR,CVF
LFLK,Oyonnax-Arbent Airport,"5.667500019, 46.27920151",FR,
LFLL,Lyon Saint-Exupéry Airport,"5.090829849, 45.72639847",FR,LYS
LFLM,Mâcon-Charnay Airport,"4.795770168, 46.29510117",FR,QNX
LFLN,Saint-Yan Airport,"4.013259888, 46.41249847",FR,SYT
LFLO,Roanne-Renaison Airport,"4.00138998, 46.05830002",FR,RNE
LFLP,Annecy-Haute-Savoie-Mont Blanc Airport,"6.098760128, 45.92919922",FR,NCY
LFLQ,Montélimar - Ancône Airport,"4.740560055, 44.58359909",FR,XMK
LFLR,Saint-Rambert-d'Albon Airport,"4.825829983, 45.2560997",FR,
LFLS,Grenoble-Isère Airport,"5.329370022, 45.36289978",FR,GNB
LFLT,Montluçon-Domérat Airport,"2.570489883, 46.35250092",FR,MCU
LFLU,Valence-Chabeuil Airport,"4.969900131, 44.92160034",FR,VAF
LFLV,Vichy-Charmeil Airport,"3.403739929, 46.16970062",FR,VHY
LFLW,Aurillac Airport,"2.421940088, 44.89139938",FR,AUR
LFLX,"Châteauroux-Déols ""Marcel Dassault"" Airport","1.730669975, 46.86220169",FR,CHR
LFLY,Lyon-Bron Airport,"4.944270134, 45.72719955",FR,LYN
LFLZ,Feurs Chambéon Airport,"4.201109886, 45.70360184",FR,
LFMA,Aix-en-Provence (BA 114) Airport,"5.367780209, 43.50559998",FR,
LFMC,Le Luc-Le Cannet Airport,"6.387139797, 43.38470078",FR,
LFMD,Cannes-Mandelieu Airport,"6.953479767, 43.54199982",FR,CEQ
LFME,Nîmes Courbessac Airport,"4.413609982, 43.85390091",FR,
LFMF,Fayence Airport,"6.70277977, 43.60889816",FR,
LFMG,Montagne Noire Airport,"1.990280032, 43.40750122",FR,
LFMH,Saint-Étienne-Bouthéon Airport,"4.296390057, 45.54059982",FR,EBU
LFMI,Istres Le Tubé/Istres Air Base (BA 125) Airport,"4.923840046, 43.52270126",FR,QIE
LFMK,Carcassonne Airport,"2.306319952, 43.2159996",FR,CCF
LFML,Marseille Provence Airport,"5.221424103, 43.43927192",FR,MRS
LFMN,Nice-Côte d'Azur Airport,"7.215869904, 43.65840149",FR,NCE
LFMO,Orange-Caritat (BA 115) Air Base,"4.8667202, 44.14049911",FR,XOG
LFMP,Perpignan-Rivesaltes (Llabanère) Airport,"2.87067008, 42.74039841",FR,PGF
LFMQ,Le Castellet Airport,"5.785190105, 43.25249863",FR,CTT
LFMR,Barcelonnette - Saint-Pons Airport,"6.610280037, 44.38830185",FR,BAE
LFMS,Alès-Deaux Airport,"4.142119884, 44.06969833",FR,XAS
LFMT,Montpellier-Méditerranée Airport,"3.963010073, 43.57619858",FR,MPL
LFMU,Béziers-Vias Airport,"3.353899956, 43.32350159",FR,BZR
LFMV,Avignon-Caumont Airport,"4.901830196, 43.90729904",FR,AVN
LFMW,Castelnaudary Villeneuve Airport,"1.921110034, 43.31219864",FR,
LFMX,Château-Arnoux-Saint-Auban Airport,"5.991390228, 44.06000137",FR,
LFMY,Salon-de-Provence (BA 701) Air Base,"5.109250069, 43.60639954",FR,
LFMZ,Lézignan-Corbières Airport,"2.73416996, 43.17580032",FR,
LFNA,Gap - Tallard Airport,"6.037779808, 44.45500183",FR,GAT
LFNB,Mende-Brenoux Airport,"3.532819986, 44.5021019",FR,MEN
LFNC,Mont-Dauphin - St-Crépin Airport,"6.600279808, 44.7016983",FR,SCP
LFND,Pont St Esprit Airport,"4.653329849, 44.26940155",FR,
LFNE,Salon Eyguières Airport,"5.013609886, 43.65829849",FR,
LFNF,Vinon Sur Verdon Airport,"5.784170151, 43.7378006",FR,
LFNG,Montpellier Candillargues Airport,"4.070280075, 43.61029816",FR,
LFNH,Carpentras Airport,"5.07806015, 44.02980042",FR,
LFNJ,Aspres-sur-Buëch Airport,"5.737500191, 44.51890182",FR,
LFNL,St Martin De Londres Airport,"3.782500029, 43.80080032",FR,
LFNO,Florac Ste Enimie Airport,"3.466670036, 44.28639984",FR,
LFNP,Pézenas Nizas Airport,"3.413609982, 43.50579834",FR,
LFNQ,Mont Louis La Quillane Airport,"2.119999886, 42.54359818",FR,
LFNR,Berre La Fare Airport,"5.178329945, 43.53779984",FR,
LFNS,Sisteron - Thèze Airport,"5.930280209, 44.28749847",FR,
LFNT,Avignon Pujaut Airport,"4.755559921, 43.99689865",FR,
LFNU,Uzès Airport,"4.395279884, 44.08470154",FR,
LFNV,Valréas Visan Airport,"4.908060074, 44.3368988",FR,
LFNW,Puivert Airport,"2.056109905, 42.91139984",FR,
LFNX,Bédarieux La Tour Airport,"3.145560026, 43.64080048",FR,
LFNY,St Etienne En Devoluy Airport,"5.90610981, 44.66889954",FR,
LFNZ,Le Mazet De Romanin Airport,"4.893610001, 43.76890182",FR,
LFOA,Avord (BA 702) Air Base,"2.632499933, 47.05329895",FR,
LFOB,Paris Beauvais Tillé Airport,"2.112780094, 49.45439911",FR,BVA
LFOC,Châteaudun (BA 279) Airport,"1.376620054, 48.05810165",FR,
LFOD,Saumur-Saint-Florent Airport,"-0.115142003, 47.25680161",FR,XSU
LFOE,Évreux-Fauville (BA 105) Air Base,"1.219859958, 49.02870178",FR,EVX
LFOF,Alençon Valframbert Airport,"0.109167002, 48.44749832",FR,XAN
LFOG,Flers Saint Paul Airport,"-0.589443982, 48.75249863",FR,
LFOH,Le Havre Octeville Airport,"0.088055998, 49.53390121",FR,LEH
LFOI,Abbeville-Buigny-Saint-Maclou Airport,"1.831889987, 50.14350128",FR,XAB
LFOJ,Orléans-Bricy (BA 123) Air Base,"1.760560036, 47.9878006",FR,ORE
LFOK,Châlons-Vatry Air Base,"4.184490204, 48.77610016",FR,XCR
LFOL,L'aigle St Michel Airport,"0.659166992, 48.75970078",FR,
LFOM,Lessay Airport,"-1.506669998, 49.2030983",FR,
LFON,Dreux Vernouillet Airport,"1.362779975, 48.70669937",FR,
LFOO,Les Sables-d'Olonne Talmont Airport,"-1.722779989, 46.47689819",FR,LSO
LFOP,Rouen Airport,"1.174800038, 49.38420105",FR,URO
LFOQ,Blois-Le Breuil Airport,"1.208840013, 47.67850113",FR,XBQ
LFOR,Chartres – Métropole Airport,"1.523890018, 48.45890045",FR,QTJ
LFOS,St Valéry Vittefleur Airport,"0.654999971, 49.83610153",FR,
LFOT,Tours-Val-de-Loire Airport,"0.727605999, 47.43220139",FR,TUF
LFOU,Cholet Le Pontreau Airport,"-0.87706399, 47.08209991",FR,CET
LFOV,Laval-Entrammes Airport,"-0.742986023, 48.03139877",FR,LVA
LFOW,Saint-Quentin - Roupy Airport,"3.206670046, 49.81689835",FR,
LFOX,Étampes Mondésir Airport,"2.075279951, 48.38190079",FR,
LFOY,Le Havre St Romain Airport,"0.361110985, 49.54470062",FR,
LFOZ,Orléans-Saint-Denis-de-l'Hôtel Airport,"2.163330078, 47.89690018",FR,
LFPA,Persan Beaumont Airport,"2.313060045, 49.16579819",FR,
LFPB,Paris-Le Bourget Airport,"2.441390038, 48.9693985",FR,LBG
LFPC,Creil Air Base,"2.519140005, 49.25350189",FR,CSF
LFPD,Bernay – St Martin Airport,"0.56666702, 49.10279846",FR,XBX
LFPE,Meaux Esbly Airport,"2.835279942, 48.92779922",FR,
LFPF,Beynes Thiverval Airport,"1.908890009, 48.84360123",FR,
LFPG,Charles de Gaulle International Airport,"2.549999952, 49.01279831",FR,CDG
LFPH,Chelles le Pin Airport,"2.607500076, 48.89780045",FR,
LFPI,Paris Issy-les-Moulineaux Heliport,"2.272779942, 48.83330154",FR,JDP
LFPK,Coulommiers-Voisins Airport,"3.016119957, 48.83769989",FR,
LFPL,Lognes Emerainville Airport,"2.625967, 48.821028",FR,
LFPM,Melun-Villaroche Air Base,"2.671119928, 48.60469818",FR,
LFPN,Toussus-le-Noble Airport,"2.106189966, 48.75189972",FR,TNF
LFPO,Paris-Orly Airport,"2.359440088, 48.72529984",FR,ORY
LFPP,Le Plessis Belleville Airport,"2.738059998, 49.11000061",FR,
LFPQ,Fontenay Trésigny Airport,"2.904439926, 48.7071991",FR,
LFPR,Guyancourt Airport,"2.0625, 48.76029968",FR,
LFPT,Pontoise - Cormeilles-en-Vexin Airport,"2.040829897, 49.09659958",FR,POX
LFPU,Moret Episy Airport,"2.799439907, 48.34189987",FR,
LFPV,Villacoublay-Vélizy (BA 107) Air Base,"2.201539993, 48.7743988",FR,VIY
LFPX,Chavenay Villepreux Airport,"1.982220054, 48.84360123",FR,
LFPY,Brétigny sur Orge Air Base,"2.332220078, 48.59609985",FR,
LFPZ,Saint-Cyr-l'École Airport,"2.074719906, 48.81140137",FR,
LFQA,Reims-Prunay Airport,"4.156579971, 49.20869827",FR,
LFQB,Troyes-Barberey Airport,"4.016699791, 48.32210159",FR,QYR
LFQC,Lunéville-Croismare Airport,"6.543459892, 48.59329987",FR,
LFQD,Arras Roclincourt Airport,"2.802779913, 50.32389832",FR,
LFQE,Étain-Rouvres Air Base,"5.67222023, 49.22689819",FR,
LFQF,Autun-Bellevue Airport,"4.260570049, 46.96730042",FR,
LFQG,Nevers-Fourchambault Airport,"3.113329887, 47.00260162",FR,NVS
LFQH,Châtillon Sur Seine Airport,"4.580560207, 47.84640121",FR,
LFQI,Cambrai-Épinoy (BA 103) Air Base,"3.154239893, 50.22180176",FR,XCB
LFQJ,Maubeuge-Élesmes Airport,"4.033120155, 50.3105011",FR,XME
LFQK,Châlons Ecury Sur Coole Airport,"4.354169846, 48.90610123",FR,
LFQL,Lens Benifontaine Airport,"2.81972003, 50.46640015",FR,
LFQM,Besançon-La Vèze Airport,"6.083680153, 47.20660019",FR,GBQ
LFQN,Saint Omer Wizernes Airport,"2.235830069, 50.72940063",FR,
LFQO,Lille/Marcq-en-Baroeul Airport,"3.075560093, 50.68719864",FR,
LFQP,Phalsbourg-Bourscheid Air Base,"7.200520039, 48.7663002",FR,
LFQQ,Lille-Lesquin Airport,"3.089440107, 50.56190109",FR,LIL
LFQR,Romilly Sur Seine Airport,"3.763329983, 48.50059891",FR,
LFQS,Vitry en Artois Airport,"2.993330002, 50.3382988",FR,
LFQT,Merville-Calonne Airport,"2.642240047, 50.61840057",FR,HZB
LFQU,Sarre Union Airport,"7.07777977, 48.95140076",FR,
LFQV,Charleville-Mézières Airport,"4.647079945, 49.78390121",FR,XCZ
LFQW,Vesoul-Frotey Airport,"6.203919888, 47.63759995",FR,XVO
LFQX,Juvancourt Airport,"4.820829868, 48.11500168",FR,
LFQY,Saverne Steinbourg Airport,"7.426390171, 48.75419998",FR,
LFQZ,Dieuze Guéblange Airport,"6.715280056, 48.77529907",FR,
LFRA,Angers Avrille Airport,"-0.572777987, 47.49919891",FR,
LFRB,Brest Bretagne Airport,"-4.418540001, 48.44789886",FR,BES
LFRC,Cherbourg-Maupertus Airport,"-1.470280051, 49.65010071",FR,CER
LFRD,Dinard-Pleurtuit-Saint-Malo Airport,"-2.079960108, 48.58769989",FR,DNR
LFRE,La Baule-Escoublac Airport,"-2.346390009, 47.28939819",FR,LBY
LFRF,Granville Airport,"-1.564170003, 48.8830986",FR,GFR
LFRG,Deauville-Saint-Gatien Airport,"0.154305995, 49.36529922",FR,DOL
LFRH,Lorient South Brittany (Bretagne Sud) Airport,"-3.440000057, 47.76060104",FR,LRT
LFRI,La Roche-sur-Yon Airport,"-1.378630042, 46.70190048",FR,EDM
LFRJ,Landivisiau Air Base,"-4.151639938, 48.53030014",FR,LDV
LFRK,Caen-Carpiquet Airport,"-0.449999988, 49.1733017",FR,CFR
LFRL,Lanvéoc-Poulmic Air Base,"-4.445020199, 48.28170013",FR,
